State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other,,
Alabama,AL,Southeast,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Alaska,AK,Alaska,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Arizona,AZ,West,"3,291,196 ",0 ,0 ,0 ,"11,753,493 ",0 ,"55,659,872 ","163,054 ","32,369,863 ","39,716,204 ","7,137 ",,
Arkansas,AR,Southeast,"4,255 ",0 ,0 ,"3,062 ","1,204,550 ",0 ,"566,822 ","1,191,884 ","3,571,101 ",0 ,0 ,,
California,CA,California,"159,646 ",0 ,"13,759 ","9,555 ","6,348,463 ","169,480 ","39,783,826 ","67,337 ","34,852,150 ","30,661,851 ",534 ,,
Colorado,CO,West,"1,478,310 ",0 ,0 ,0 ,"4,195,168 ","100,365 ","25,075,250 ","87,674 ","11,368,417 ","15,169,966 ","24,019 ",,
Connecticut,CT,New England,"6,062,630 ","13,022,836 ","611,763 ","5,764,637 ","27,707,085 ","144,453 ","1,948,279 ","1,638,019 ","115,749,546 ","31,734,676 ","440,323 ",,
Delaware,DE,Mid Atlantic,"50,528 ",0 ,"16,530 ","2,942,133 ","2,058,215 ","(108,658)","31,641,090 ","15,552 ","13,802,364 ",0 ,"33,633 ",,
District of Columbia,DC,Mid Atlantic,"753,801 ",0 ,0 ,0 ,"623,123 ","5,385 ","2,453,497 ","288,349 ","9,678,195 ","16,657,387 ","712,522 ",,
Florida,FL,Florida,"138,302 ",0 ,0 ,0 ,0 ,0 ,"2,910,909 ","268,773 ","1,686,773 ",0 ,"5,877 ",,
Georgia,GA,Southeast,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"35,499 ",0 ,0 ,0 ,,
Hawaii,HI,Hawaii,"4,237,764 ",0 ,"10,225 ",0 ,"244,526 ",0 ,"54,052,312 ","8,962,843 ","117,733,704 ","29,336,059 ","2,576,795 ",,
Idaho,ID,West,"2,931,302 ",0 ,0 ,0 ,"3,055,512 ","271,988 ","69,524,670 ","644,996 ","20,301,025 ","31,682,579 ","26,648 ",,
Illinois,IL,Mid Atlantic,"294,674 ","167,591 ",25 ,"213,224 ","92,855 ",0 ,"1,521,169 ","8,288,819 ","40,378 ",0 ,"166,284 ",,
Indiana,IN,Mid Atlantic,"477,948 ","107,079 ",0 ,"227,028 ","9,506,510 ",0 ,"72,994 ",124 ,"1,549,875 ",0 ,0 ,,
Iowa,IA,Midwest,"752,801 ",0 ,0 ,"2,761,152 ","161,280 ",0 ,"90,949,011 ","110,882 ","4,364,445 ","94,050,482 ","64,293 ",,
Kansas,KS,Heartland,"263,428 ",0 ,0 ,"1,403,192 ","520,261 ",0 ,"108,590,677 ","154,666 ","5,390,611 ",0 ,"344,927 ",,
Kentucky,KY,Southeast,"175,258 ",0 ,0 ,"7,331,391 ","737,337 ",0 ,"37,491,842 ","92,859 ","1,140,568 ","4,678,931 ",40 ,,
Louisiana,LA,Southeast,0 ,0 ,0 ,"2,385,107 ","12,366 ",0 ,"32,242,988 ","124,354 ","2,611,084 ","8,768,548 ",0 ,,
Maine,ME,New England,"380,464 ",0 ,0 ,0 ,"3,353,205 ",0 ,"84,379,768 ","2,028,175 ","843,725 ",0 ,"12,629 ",,
Maryland,MD,Mid Atlantic,"2,493,390 ",0 ,0 ,0 ,"1,236,351 ",0 ,"23,075,071 ","1,815,819 ","45,313,617 ","16,782,077 ","390,454 ",,
Massachusetts,MA,New England,"3,637,795 ",0 ,0 ,"260,121 ","4,588,721 ",0 ,"72,386 ","480,670 ","7,481,945 ",0 ,"352,154 ",,
Michigan,MI,Midwest,"539,982 ",0 ,0 ,0 ,"1,948,148 ",0 ,"24,414,551 ","346,732 ","2,070,846 ","14,550,119 ","255,891 ",,
Minnesota,MN,Midwest,"1,259,419 ",0 ,67 ,"3,798 ","1,276,194 ","(533,636)","9,896,296 ","864,489 ","21,242,542 ","5,396,021 ","770,712 ",,
Mississippi,MS,Southeast,"2,250,155 ",0 ,0 ,"289,188 ","1,320,648 ","(856,864)","67,822,266 ","379,469 ","8,244,775 ","21,851,009 ","341,304 ",,
Missouri,MO,Southeast,"1,543,617 ",0 ,0 ,"4,956,987 ","695,633 ",0 ,"30,091,455 ","60,295 ","2,559,675 ","12,393,425 ","340,463 ",,
Montana,MT,West,"1,397,118 ",0 ,0 ,0 ,0 ,0 ,"12,970,797 ","17,028 ","23,380,703 ","10,998,515 ","5,206 ",,
Nebraska,NE,Midwest,"56,857 ",0 ,0 ,"498,515 ","1,914,728 ","566,713 ","71,848,215 ","86,777 ","3,400,527 ","10,247,116 ","27,422 ",,
Nevada,NV,West,"100,425 ",0 ,0 ,"810,815 ","9,141,899 ",0 ,"15,164,571 ","489,689 ","81,800 ",0 ,"110,308 ",,
New Hampshire,NH,New England,"60,163 ",0 ,0 ,"288,681 ","401,434 ",0 ,"23,427,525 ","24,899 ","332,467 ","9,435,142 ",0 ,,
New Jersey,NJ,Mid Atlantic,890 ,"1,616,677 ","150,858 ",0 ,"2,446,365 ",0 ,"7,507,244 ","17,727 ","26,080,001 ",0 ,0 ,,
New Mexico,NM,West,"1,089,623 ",0 ,0 ,"28,466 ","1,580,928 ",0 ,"2,885,668 ","171,818 ","5,352,728 ","8,816,673 ","59,854 ",,
New York,NY,New York,"914,529 ",0 ,"2,438 ","19,150 ","37,117 ",0 ,"5,345,449 ","304,336 ","21,037,564 ","34,327,954 ","513,761 ",,
North Carolina,NC,Southeast,"17,433 ",0 ,0 ,"1,543,715 ","300,873 ",0 ,"29,084,699 ","43,480 ","8,759,510 ",0 ,"4,371 ",,
North Dakota,ND,Midwest,"2,081,064 ",0 ,0 ,"2,258,904 ","28,317,958 ","(480,387)","13,152,552 ","2,717,386 ","42,954,141 ","43,484,614 ","989,616 ",,
